#{"t_start": 1764939802.515601, "env_id": "highway-construction-v0"}
r,l,t
-16.531216,29,999.554295
-50.0,1,999.564204
-23.363301,44,999.833405
-50.0,1,999.842433
-50.0,1,999.851382
-50.0,1,999.860415
-30.89178,24,1000.012602
-46.163347,93,1000.588099
-48.34211,2,1000.604415
-30.850691,40,1000.854358
-46.481703,14,1000.944829
-48.279979,6,1000.989399
-35.738833,23,1001.139906
-39.363521,13,1001.231272
-45.548443,19,1001.355712
-43.378941,9,1001.417404
-48.082718,7,1001.467339
-42.36384,18,1001.593889
-44.748163,6,1001.635281
-17.984791,51,1001.99855
-38.055397,15,1002.092961
-1162.464508,600,1005.422311
-1351.037675,600,1009.349767
-47.060364,127,1010.162548
-20.856902,25,1010.333718
-38.034683,19,1010.453668
-42.279966,42,1010.745946
-1243.777318,600,1014.386449
-38.808593,25,1014.54639
-71.402408,386,1017.300103
-31.034974,34,1017.524828
-45.865724,20,1017.658798
-50.0,1,1017.668145
-38.069678,11,1017.747358
-27.148103,29,1017.960419
-1024.884249,600,1022.029908
-41.446469,9,1022.094081
-34.355019,32,1022.303005
-47.572103,23,1022.459217
-2.792267,95,1023.087608
-48.056296,10,1023.155101
-28.562138,26,1023.355491
-47.756052,3,1023.377509
-47.433213,5,1023.414634
-33.81621,15,1023.519843
-46.704187,3,1023.542201
-50.0,1,1023.551037
-48.34211,2,1023.56627
-47.756052,3,1023.587696
-62.292366,78,1024.122429
-45.364548,26,1024.300275
-42.539462,17,1024.415828
-32.038409,23,1024.565447
-34.087534,17,1024.675062
-48.626034,46,1024.970574
-3.590926,100,1025.617899
-48.34211,2,1025.63381
-38.045672,16,1025.740035
-36.997533,17,1025.852163
-46.288017,15,1025.952116
-25.253104,34,1026.179509
-50.0,1,1026.188898
-50.455024,11,1026.26913
-27.036068,18,1026.398524
-30.585846,35,1026.629299
-38.421552,17,1026.754692
-50.0,1,1026.764886
-44.375652,33,1026.975611
-36.063013,30,1027.162059
-47.40543,18,1027.282083
-46.477407,7,1027.329127
-37.191332,18,1027.445281
-38.447958,93,1028.133908
-50.937034,6,1028.176421
-43.45819,18,1028.294088
-22.26148,88,1028.888974
-34.385951,17,1029.009987
-50.0,1,1029.019357
-17.429287,29,1029.214297
-34.400383,45,1029.537065
-47.304187,3,1029.559027
-27.337121,42,1029.840611
-50.0,1,1029.850108
-45.849367,15,1029.950968
-48.007957,11,1030.024626
-30.368729,18,1030.140179
-47.650691,13,1030.236137
-50.0,1,1030.245727
-38.229797,18,1030.364251
-43.502746,31,1030.575712
-38.774146,19,1030.702835
-46.769353,19,1030.840708
-34.376824,37,1031.081902
-41.811669,12,1031.164136
-43.430754,32,1031.385233
-44.12511,5,1031.420952
-75.183774,88,1031.974309
-49.127667,2,1031.991215
-34.082925,15,1032.095465
-45.059519,26,1032.268062
-45.490141,9,1032.328737
-31.58721,37,1032.576495
-5.965509,54,1032.955509
-49.615852,22,1033.099844
-46.159521,8,1033.155045
-43.557499,10,1033.219568
-35.98373,19,1033.347501
-49.367681,25,1033.502898
5.706333,56,1033.897109
-43.841698,13,1033.988022
-46.236987,24,1034.147489
-47.195952,23,1034.311575
-36.006309,12,1034.395251
-23.683092,46,1034.699838
-50.0,1,1034.70994
-38.315707,15,1034.821005
-34.268999,19,1034.945708
-50.532322,15,1035.044283
-43.184256,5,1035.079461
-45.81609,14,1035.180908
-48.730322,21,1035.327883
-45.515474,4,1035.356259
